,Year,Category,Motivation,Prize Share,Laureate ID,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Winning_age,Age_x_x,Age_y_x,Age_x_y,Age_y_y,Age_x_x,Age_y_x,Age_x_y,Age_y_y
0,1901,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1/1,160,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany,49.0,59.0,,,,,,,
1,1901,Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1/1,569,Sully Prudhomme,1839-03-16,Paris,France,Male,Self,,France,1907-09-07,Châtenay,France,62.0,68.0,,68.0,,68.0,,68.0,
2,1901,Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1/1,293,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany,1917-03-31,Marburg,Germany,47.0,63.0,,,,,,,
3,1901,Peace,The Nobel Peace Prize 1901 was awarded jointly to Jean Henry Dunant and Frédéric Passy,1/2,462,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male," Originator Geneva Convention (Convention de Genève), Founder of the International Committee of the Red Cross, Geneva",,,1910-10-30,Heiden,Switzerland,73.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
4,1901,Peace,The Nobel Peace Prize 1901 was awarded jointly to Jean Henry Dunant and Frédéric Passy,1/2,463,Frédéric Passy,1822-05-20,Paris,France,Male, Founder and President of first French peace society (since 1889 called Société française pour l'arbitrage entre nations),,,1912-06-12,Paris,France,79.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
5,1901,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1/1,1,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,1923-02-10,Munich,Germany,56.0,78.0,,,,,,,
6,1902,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1/1,161,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1919-07-15,Berlin,Germany,50.0,67.0,,,,,,,
7,1902,Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1/1,571,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,Self,,Schleswig (Germany),1903-11-01,Charlottenburg,Germany,85.0,86.0,,86.0,,86.0,,86.0,
8,1902,Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1/1,294,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,1932-09-16,Putney Heath,United Kingdom,45.0,75.0,,,,,,,
9,1902,Peace,Not Specified,1/2,464,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,Self,,Switzerland,1906-12-07,Bern,Switzerland,69.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
10,1902,Peace,The Nobel Peace Prize 1902 was awarded jointly to élie Ducommun and Charles Albert Gobat,1/2,465,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male," Honorary Secretary, Permanent International Peace Bureau, Bern, Switzerland, Secretary General, Inter-Parliamentary Union",,,1914-03-16,Bern,Switzerland,59.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
11,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,2,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,1928-02-04,,Netherlands,49.0,75.0,,,,,,,
12,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,3,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943-10-09,Amsterdam,Netherlands,37.0,78.0,,,,,,,
13,1903,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1/1,162,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927-10-02,Stockholm,Sweden,44.0,68.0,,,,,,,
14,1903,Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1/1,572,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,Self,,Norway,1910-04-26,Paris,France,71.0,78.0,,78.0,,78.0,,78.0,
15,1903,Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",1/1,295,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,1904-09-24,Copenhagen,Denmark,43.0,44.0,,,,,,,
